taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,NCBI Taxon ID,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Habitat,Host Name,Isolation,Isolation Country,Genome Size   * assembled,Gene Count   * assembled
2738542358,Virus,Draft,Redefining the invertebrate RNA virosphere,Wenzhou picorna-like virus 38 WZSLuoI83635,"BGI Tech Solutions Co., Ltd.",2738542358,1923624,Host-associated,Mollusca,,,,,,China,8755,1
642483463,Virus,Finished,Malachra yellow vein mosaic virus-associated satellite DNA beta,Malachra yellow vein mosaic virus-associated satellite DNA beta,,642483463,488255,,,,,,Malachra,,,1339,1
2706795088,Virus,Draft,Human pegivirus 2 RefSeq Genome,Human pegivirus 2 UC0125.US,"University of California, San Francisco",2706795088,1729141,Host-associated,Human,,,,Homo sapiens,,,9867,1
645948521,Virus,Finished,Sulfolobus spindle-shaped virus 7,Sulfolobus spindle-shaped virus 7,University of Copenhagen,645948521,693628,,,,,,Sulfolobus sp. G4T-1,,,17602,33
2738542552,Virus,Draft,Redefining the invertebrate RNA virosphere,Hubei picorna-like virus 66 SSZZ2530,"BGI Tech Solutions Co., Ltd.",2738542552,1923149,Host-associated,Arthropoda,,,,Tetragnatha maxillosa,,China,11931,3
2706795438,Virus,Draft,Senegalese sole Iberian betanodavirus RefSeq Genome,Senegalese sole Iberian betanodavirus SpSsIAusc16003,Universidad de Santiago de Compostela,2706795438,683176,Host-associated,Fish,,,,Fish,,,4526,2
2738542294,Virus,Draft,Redefining the invertebrate RNA virosphere,Shuangao Fly Virus 1 QSA06-1,"BGI Tech Solutions Co., Ltd.",2738542294,1608073,Host-associated,Arthropoda,,,,,,China,5647,2
2700989066,Virus,Draft,Mycobacterium phage 39HC,Mycobacterium phage 39HC,"National Center for Biotechnology Information (NCBI), National University of Rosario",2700989066,1463809,,,,,,Mycobacterium,,,71565,100
638275486,Virus,Finished,Australian bat lyssavirus,Australian bat lyssavirus,"Livestock Industries, Commonwealth Scientific and Industrial Research Organisation (CSIRO)",638275486,90961,,,,,,Pteropus alecto,,,11822,5
638276523,Virus,Finished,Omsk hemorrhagic fever virus,Omsk hemorrhagic fever virus,University of Texas Medical Branch,638276523,12542,,,,,,Rodentia,,,10787,1
650627070,Virus,Finished,Passion fruit woodiness virus,Passion fruit woodiness virus,Murdoch University,650627070,31732,,,,,,Passiflora caerulea,,,9858,1
646558419,Virus,Finished,Chronic bee paralysis virus,Chronic bee paralysis virus,,646558419,180822,,,,,,Apis mellifera (honey bee),,,5979,7
2738541603,Virus,Draft,Redefining the invertebrate RNA virosphere,Beihai mantis shrimp virus 1 BHXG26050,"BGI Tech Solutions Co., Ltd.",2738541603,1922428,Host-associated,Arthropoda,,,,Miyakea,,China,10973,6
638276777,Virus,Permanent Draft,Sida golden mosaic Honduras virus,Sida golden mosaic Honduras virus,University of Stuttgart,638276777,223316,,,,,,Sida sp.,,,5192,7
2595698409,Virus,Finished,Synechococcus phage S-MbCM6,Synechococcus phage S-MbCM6,University of Arizona,2595698409,1079998,Environmental,Aquatic,Neritic zone,Marine,,Synechococcus sp. WH7803,Eastern Pacific Ocean,,176043,225
2595698387,Virus,Finished,Grapevine red blotch virus,Grapevine red blotch virus,"University of California, Davis",2595698387,1381007,,,,,,Vitis vinifera,,,3206,6
641509443,Virus,Finished,Mycobacterium phage Bethlehem,Mycobacterium phage Bethlehem,University of Pittsburgh,641509443,260121,,,,,,Mycobacterium,,,52250,87
2706796721,Virus,Draft,Lactococcus phage P092 RefSeq Genome,Lactococcus phage P092,University of Copenhagen,2706796721,1476887,Host-associated,Microbial,,Bacteria,,Lactococcus,,,53513,76
638276435,Virus,Finished,Mulard duck circovirus,Mulard duck circovirus,Robert Koch Institute (RKI),638276435,232802,,,,,,Anas platyrhynchos x Cairina moschata,,,1996,2
2738542532,Virus,Draft,Redefining the invertebrate RNA virosphere,Beihai levi-like virus 23 BHJP62133,"BGI Tech Solutions Co., Ltd.",2738542532,1922409,Host-associated,Echinodermata,,,,Echinodermata,,China,3701,3
638276102,Virus,Finished,Goose circovirus,Goose circovirus,Queen's University Belfast,638276102,146032,,,,,,Anser sp.,,,1821,4
2757320872,Virus,Draft,Genome sequencing of Lake Sinai virus 2,Lake Sinai virus 2,Commonwealth Scientific and Industrial Research Organisation (CSIRO),2757320872,1041831,,,,,,,,,5911,3
2738541411,Virus,Draft,Redefining the invertebrate RNA virosphere,Sanxia atyid shrimp virus 1 SXXX35475,"BGI Tech Solutions Co., Ltd.",2738541411,1923355,Host-associated,Arthropoda,,,,Atyidae,,China,11157,5
2595698601,Virus,Finished,"Mycobacterium phages genome sequencing - Pittsburgh Bacteriophage Institute, University of Pittsburgh, USA",Mycobacterium phage SDcharge11,University of Pittsburgh,2595698601,1327775,,,,,,Mycobacterium smegmatis str. MC2 155,,,67702,100
2706795763,Virus,Draft,Mycobacterium phage Dante RefSeq Genome,Mycobacterium phage Dante,"Department of Biology, Gettysburg College",2706795763,1698357,Host-associated,Microbial,,Bacteria,,Mycobacterium,,,59652,105
2706795033,Virus,Draft,Verrucomicrobia phage P8625,Verrucomicrobia phage P8625,"Chunlab, Inc",2706795033,10699,Environmental,Aquatic,Coastal,Marine,,Verrucomicrobia sp. IMCC8625,Surface seawater,South Korea,32894,52
2738541898,Virus,Draft,Redefining the invertebrate RNA virosphere,Hubei partiti-like virus 45 WHYY15874,"BGI Tech Solutions Co., Ltd.",2738541898,1923053,Host-associated,Arthropoda,,,,Scutigeridae,,China,1443,1
642483496,Virus,Finished,Streptococcus phage 858,Streptococcus phage 858,CHU de Quebec - Universite Laval,642483496,459845,,,,,,Streptococcus thermophilus,,,35543,46
645044581,Virus,Finished,Midway virus,Midway virus,Washington University in St. Louis,645044581,644609,,,,,,Ornithodoros capensis,,,11752,6
2597490331,Virus,Finished,Morelia spilota papillomavirus 1,Morelia spilota papillomavirus 1,University of Zurich,2597490331,1081054,,,,,,Morelia spilota spilota,,,7048,6
638275649,Virus,Finished,Black queen cell virus,Black queen cell virus,"University of Western Cape,",638275649,92395,,,,,,Apis mellifera,,,8550,2
2700988985,Virus,Draft,Genomic diversity in European Spodoptera exigua multiple nucleopolyhedrovirus isolates - University of Tours,Spodoptera exigua multiple nucleopolyhedrovirus HT-SeG24,University of Tours,2700988985,10454,,,,,,,,,135292,137
2765235950,Virus,Draft,Genome sequencing of Lisianthus enation leaf curl virus,Lisianthus enation leaf curl virus,National Chung Hsing University,2765235950,1740165,Host-associated,Plants,,,,Plants,,,2759,6
2706796198,Virus,Draft,Palaemonetes intermedius brackish grass shrimp associated circular virus RefSeq Genome,Palaemonetes intermedius brackish grass shrimp associated circular virus I0059,University of South Florida,2706796198,1692257,Host-associated,Arthropoda,,,,Shrimp,,,2293,2
651703040,Virus,Finished,Enterobacteria phage SPC35,Salmonella virus SPC35,Seoul National University,651703040,977927,,,,,,Salmonella typhimurium,,,118351,169
642973626,Virus,Finished,Staphylococcus virus IPLA35,Staphylococcus virus IPLA35,,642973626,575610,,,,,,Staphylococcus aureus,,,45344,62
638275739,Virus,Finished,Capra hircus papillomavirus 1,Capra hircus papillomavirus 1,University of Leuven ? KU Leuven,638275739,338903,,,,,,Capra hircus,,,7542,7
2595698988,Virus,Draft,Enterovirus F,Enterovirus F,Friedrich Schiller University of Jena,2595698988,1330520,,,,,,Homo sapiens,,,7397,1
2606217114,Virus,Draft,Prochlorococcus phage Sequencing -  Broad Institute,Prochlorococcus phage P-SSP10,Broad Institute,2606217114,885867,Environmental,Aquatic,Pelagic,Marine,,Prochlorococcus sp. NATL2A,"Sargasso Sea, North Atlantic Ocean",,47325,61
638276553,Virus,Finished,Papaya leaf curl virus betasatellite,Papaya leaf curl virus betasatellite,Indian Agricultural Research Institute,638276553,714640,,,,,,Carica papaya,,,1372,1
645044610,Virus,Finished,Triticum mosaic virus,Triticum mosaic virus,USDA-ARS,645044610,431317,,,,,,Triticum aestivum cv. RonL,,,10282,1
2595698297,Virus,Finished,Castor canadensis papillomavirus type 1,Castor canadensis papillomavirus type 1,Washington State University,2595698297,1352235,,,,,,Castor canadensis,,,7435,5
2738541540,Virus,Draft,Redefining the invertebrate RNA virosphere,Shuangao partiti-like virus 1 mosZJ25114,"BGI Tech Solutions Co., Ltd.",2738541540,1923472,Host-associated,Arthropoda,,,,,,China,1269,1
2595698308,Virus,Finished,Tomato mottle mosaic virus,Tomato mottle mosaic virus,"U.S. Department of Agriculture, Agricultural Research Service ",2595698308,1391702,,,,,,Solanum lycopersicum,,,6398,4
2757320621,Virus,Draft,Genome sequencing of San Bernardo virus,San Bernardo virus,University of Texas Medical Branch,2757320621,1955199,Host-associated,Invertebrates,,,,invertebrates,,,9748,3
2757320725,Virus,Draft,Genome sequencing of Ceratobasidium endornavirus B,Ceratobasidium endornavirus B,Murdoch University,2757320725,1908807,Host-associated,Fungi,,,,fungi,,,23635,2
2706796781,Virus,Draft,Changping Tick Virus 3 RefSeq Genome,Changping Tick Virus 3 CP1-3,Chinese Center for Disease Control and Prevention (China CDC),2706796781,1608045,Host-associated,Arthropoda,,,,Tick,,,9527,2
643677418,Virus,Finished,Euproctis pseudoconspersa nucleopolyhedrovirus,Euproctis pseudoconspersa nucleopolyhedrovirus,Zhejiang University,643677418,307467,,,,,,Arna pseudoconspersa,,,141291,139
2706795170,Virus,Draft,Alfalfa latent virus RefSeq Genome,Alfalfa latent virus ATCC PV-264,USDA-ARS,2706795170,165250,Host-associated,Plants,,,,Medicago sativa,,,8041,5
2706795665,Virus,Draft,Polaribacter phage P12002S RefSeq Genome,Polaribacter phage P12002S,Inha University,2706795665,1647387,Host-associated,Microbial,,Bacteria,,Polaribacter,,,49847,86
2706796035,Virus,Draft,Mycobacterium phage Theia RefSeq Genome,Mycobacterium phage Theia,University of North Texas,2706796035,1718172,Host-associated,Microbial,,Bacteria,,Mycobacterium,,,50999,88
2609459784,Virus,Draft,Vibrio phage PWH3a-P1,Vibrio phage PWH3a-P1,Broad Institute,2609459784,754058,,,,,,Vibrio natriegens,,,129155,216
2595698843,Virus,Finished,Canine bocavirus,Canine bocavirus,Columbia University,2595698843,1108949,,,,,,Canis lupus familiaris,,,5413,4
638276705,Virus,Permanent Draft,Rhizoctonia solani virus 717,Rhizoctonia solani virus 717,University of Maine,638276705,46618,,,,,,Rhizoctonia solani,,,4569,2
2706795174,Virus,Draft,Mulberry badnavirus 1 RefSeq Genome,Mulberry badnavirus 1 Lebanon34,"Istituto di virologia vegetale (IVV), Italy",2706795174,1227557,Host-associated,Plants,,,,Mulberry,,,6945,2
2706795564,Virus,Draft,Fisavirus 1 RefSeq Genome,Fisavirus 1 HAL1,ANTSZ Baranya County Institute of State Public Health Service,2706795564,1574287,Host-associated,Fish,,,,Cyprinus carpio,,,8712,1
2757321094,Virus,Draft,Genome sequencing of Giant panda associated virus,Giant panda associated gemycircularvirus,Jiangsu University,2757321094,2016461,Host-associated,Unclassified,Unclassified,Unclassified,,vertebrates,,,2185,3
651703047,Virus,Finished,Fowl adenovirus C,Fowl adenovirus C,University of Guelph,651703047,190063,,,,,,Gallus gallus,,,43804,38
2738542114,Virus,Draft,Redefining the invertebrate RNA virosphere,Hubei zhaovirus-like virus 2 WHBL71389,"BGI Tech Solutions Co., Ltd.",2738542114,1923345,Host-associated,Mollusca,,,,Unio douglasiae,,China,5682,2
2595698768,Virus,Finished,"In vivo efficacy of therapeutic bacteriophages - Institut Pasteur, France",Pseudomonas phage CHA_P1,Institut Pasteur,2595698768,1327965,,,,,,Pseudomonas aeruginosa CHA,,,88255,166
638276592,Virus,Finished,Pepper leaf curl Bangladesh virus,Pepper leaf curl Bangladesh virus,AVRDC - The World Vegetable Center,638276592,223305,,,,,,Capsicum annuum,,,2753,6
2706796610,Virus,Draft,Salmonella phage LSPA1 RefSeq Genome,Salmonella phage LSPA1,Kunming University of Science and Technology,2706796610,1540823,Host-associated,Microbial,,Bacteria,,Salmonella,,,41880,58
2700988933,Virus,Draft,Citrobacter phage CR8,Citrobacter phage CR8,"National Center for Biotechnology Information (NCBI), Wellcome Trust Sanger Institute",2700988933,1455076,,,,,,Citrobacter rodentium,,,39651,57
638276286,Virus,Permanent Draft,Influenza B virus,Influenza B virus,"National Institute of Infectious Diseases, Japan",638276286,11520,,,,,,Homo sapiens,,,14452,11
638276202,Virus,Finished,Enterovirus A,Enterovirus A,National Institute for Health and Welfare,638276202,138948,,,,,,Homo sapiens,,,7413,1
2595698771,Virus,Finished,Lagos bat virus,Lagos bat virus,Institut Pasteur,2595698771,38766,,,,,,Eidolon helvum,,,12016,5
638276532,Virus,Finished,Orf virus,Orf virus,"U.S. Department of Agriculture, Agricultural Research Service",638276532,10258,,,,,,Ovis aries,,,139962,130
2738542338,Virus,Draft,Redefining the invertebrate RNA virosphere,Wenzhou hepe-like virus 2 WZFSL85851,"BGI Tech Solutions Co., Ltd.",2738542338,1923565,Host-associated,Mollusca,,,,Pomacea canaliculata,,China,7652,2
2706795512,Virus,Draft,Gyrovirus GyV7-SF RefSeq Genome,Gyrovirus GyV7-SF,Blood Systems Research Institute (BSRI),2706795512,1548711,,,,,,,,,2439,3
2757320808,Virus,Draft,Genome sequencing of Reed chlorotic stripe virus,Reed chlorotic stripe virus,China Agricultural University,2757320808,1959287,Host-associated,Plants,,,,Plants,,,9426,1
2738542772,Virus,Draft,Redefining the invertebrate RNA virosphere,Beihai tombus-like virus 12 BHTSS17936,"BGI Tech Solutions Co., Ltd.",2738542772,1922715,Host-associated,Arthropoda,,,,,,China,6097,5
2703719071,Virus,Draft,Ageratum yellow vein China alphasatellite,Ageratum yellow vein China alphasatellite,"Guangdong Academy of Agricultural Sciences, National Center for Biotechnology Information (NCBI)",2703719071,1454227,,,,,,Ageratum,,,1365,1
2773857873,Virus,Draft,Whole Genome Sequence of Siphoviridae Phages Infecting Clostridium difficile,Clostridium phage phiMMP03,Institut Pasteur,2773857873,1582157,Host-associated,Microbial,,Bacteria,,,,,52261,93
2588253595,Virus,Finished,Grapevine deformation virus,Grapevine deformation virus,"to the INSDC. Elbeaino T., IPM-Virology, Istituto Agronomico Mediterraneo di Bari, Via Ceglie 9, Valenzano-Bari, ITALY",2588253595,233784,,,,,,Vitis vinifera,,,11139,2
2738541800,Virus,Draft,Redefining the invertebrate RNA virosphere,Wuchang Cockraoch Virus 1 WCZL-5,"BGI Tech Solutions Co., Ltd.",2738541800,1608097,Host-associated,Arthropoda,,,,Blattella germanica,,China,10937,3
641201050,Virus,Finished,Crocodilepox virus,Crocodilepox virus,"U.S. Department of Agriculture, Agricultural Research Service",641201050,368445,,,,,,Crocodylus niloticus,,,190054,173
2738541536,Virus,Draft,Redefining the invertebrate RNA virosphere,Hubei picorna-like virus 62 spider133936,"BGI Tech Solutions Co., Ltd.",2738541536,1923145,Host-associated,Arthropoda,,,,,,China,8840,1
2706795945,Virus,Draft,Gordonia phage genome sequencing - University of Pittsburgh,Gordonia phage Guacamole,University of Pittsburgh,2706795945,1821553,Host-associated,Microbial,,Bacteria,,Gordonia,,,49894,78
2706795434,Virus,Draft,Vibrio phage X29 RefSeq Genome,Vibrio phage X29,University of Nottingham,2706795434,1500713,Host-associated,Microbial,,Bacteria,,Vibrio,,,41569,67
638276759,Virus,Permanent Draft,Sclerophthora macrospora virus A,Sclerophthora macrospora virus A,University of Tokyo,638276759,191289,,,,,,Sclerophthora macrospora,,,5886,3
2706796791,Virus,Draft,Fusarium poae dsRNA virus 2 RefSeq Genome,Fusarium poae dsRNA virus 2 SX63,Chinese Academy of Agricultural Sciences,2706796791,1848042,Host-associated,Fungi,,,,Fusarium poae,,,9518,2
2706795420,Virus,Draft,Pseudomonas phage vB_PaeS_PAO1_Ab18 RefSeq Genome,Pseudomonas phage vB_PaeS_PAO1_Ab18,University of Paris-Sud,2706795420,1548905,Host-associated,Microbial,,Bacteria,,Pseudomonas,,,56537,76
2606217119,Virus,Draft,Cyanophage P-SS1,Cyanophage P-SS1,Broad Institute,2606217119,889957,Environmental,Aquatic,Pelagic,Marine,,Prochlorococcus sp. MIT9313,North Atlantic Ocean,,178284,223
2757321070,Virus,Draft,Genome sequencing of Lucheng Rn rat coronavirus,Lucheng Rn rat coronavirus,"National Institute for Communicable Disease Control and Prevention, China CDC",2757321070,1508224,Host-associated,Unclassified,Unclassified,Unclassified,,vertebrates,,,28763,5
641201335,Virus,Finished,Staphylococcus phage PH15,Staphylococcus phage PH15,Rockefeller University,641201335,399185,,,,,,Staphylococcus epidermidis,,,44041,68
2706795906,Virus,Draft,Catopsilia pomona nucleopolyhedrovirus RefSeq Genome,Catopsilia pomona nucleopolyhedrovirus 416,"Chinese Academy of Sciences, Wuhan Institute of Virology",2706795906,1850906,Host-associated,Insecta,,,,Butterfly,,,128058,130
638276951,Virus,Finished,Tobacco curly shoot alphasatellite,Tobacco curly shoot alphasatellite,Zhejiang University,638276951,926844,,,,,,Nicotiana tabacum,,,1367,1
2597490078,Virus,Finished,Possum enterovirus W1,Possum enterovirus W1,AgResearch Limited,2597490078,263531,,,,,,Trichosurus vulpecula,,,7390,4
2738541992,Virus,Draft,Redefining the invertebrate RNA virosphere,Wuhan Insect virus 6 SXCC01-1,"BGI Tech Solutions Co., Ltd.",2738541992,1608111,Host-associated,Arthropoda,,,,,,China,14191,6
2706795751,Virus,Draft,Strawberry polerovirus 1 RefSeq Genome,Strawberry polerovirus 1 AB5301,Agriculture and Agri-Food Canada,2706795751,1564903,Host-associated,Plants,,,,Strawberry,,,5986,6
2595698513,Virus,Finished,Vibrio phage pVp-1,Vibrio phage pVp-1,Seoul National University,2595698513,1150989,,,,,,Vibrio parahaemolyticus ATCC 33844,,,111506,157
2757320744,Virus,Draft,Genome sequencing of Actinidia virus 1,Actinidia virus 1,University of Bologna,2757320744,2024724,Host-associated,Plants,,,,Plants,,,18848,12
2706795078,Virus,Draft,"Molluscs and insect larvae associated viral genomes from Lake Sarah, New Zealand",Lake Sarah-associated circular virus-48 LSaCV-48-LSCO-2013,University of Canterbury,2706795078,1685777,Host-associated,Invertebrates,,,,,,New Zealand,2039,2
2595698483,Virus,Finished,Cadicivirus A,Cadicivirus A,University of Hong Kong,2595698483,1330068,,,,,,Canis lupus familiaris,,,8785,2
2595698627,Virus,Finished,"Mycobacterium phages genome sequencing - Pittsburgh Bacteriophage Institute, University of Pittsburgh, USA",Mycobacterium phage Whirlwind,University of Pittsburgh,2595698627,1340826,,,,,,Mycobacterium smegmatis str. MC2 155,,,76050,139
650627056,Virus,Finished,Malvastrum yellow vein Changa Manga virus,Malvastrum yellow vein Changa Manga virus,University of Punjab,650627056,911574,,,,,,Malvastrum coromandelianum,,,2754,6
641201250,Virus,Finished,Malvastrum yellow mosaic alphasatellite,Malvastrum yellow mosaic alphasatellite,Zhejiang University,641201250,377461,,,,,,Malvastrum coromandelianum L.,,,1373,1
645948530,Virus,Finished,Tomato leaf curl Cameroon virus,Tomato leaf curl Cameroon virus,Swedish University of Agricultural Sciences,645948530,693894,,,,,,Solanum lycopersicum,,,2808,9
2738541891,Virus,Draft,Redefining the invertebrate RNA virosphere,Hubei partiti-like virus 43 ZCM99354,"BGI Tech Solutions Co., Ltd.",2738541891,1923051,Host-associated,Arthropoda,,,,,,China,1442,1
2738542361,Virus,Draft,Redefining the invertebrate RNA virosphere,Wenzhou partiti-like virus 1 WZRBX37312,"BGI Tech Solutions Co., Ltd.",2738542361,1923592,Host-associated,Arthropoda,,,,,,China,1340,1
2738541454,Virus,Draft,Redefining the invertebrate RNA virosphere,Shahe levi-like virus 2 SHWC0209c10970,"BGI Tech Solutions Co., Ltd.",2738541454,1923427,Host-associated,Arthropoda,,,,,,China,3563,3
2595698565,Virus,Finished,Clostridium phage phiCP7R,Clostridium phage phiCP7R,"U.S. Department of Agriculture, Agricultural Research Service ",2595698565,1162304,,,,,,Clostridium perfringens,,,18397,26
638276029,Virus,Finished,Enterobacteria phage Qbeta,Enterobacteria phage Qbeta,Leiden Institute of Chemistry,638276029,39803,,,,,,Escherichia coli,,,4215,4
2738541409,Virus,Draft,Redefining the invertebrate RNA virosphere,Wenzhou picorna-like virus 25 WZFSL75477,"BGI Tech Solutions Co., Ltd.",2738541409,1923610,Host-associated,Mollusca,,,,Pomacea canaliculata,,China,8464,1
638276149,Virus,Permanent Draft,Helminthosporium victoriae 145S virus,Helminthosporium victoriae 145S virus,University of Kentucky,638276149,164750,,,,,,Bipolaris victoriae,,,12481,4
2595698750,Virus,Finished,Streptomyces phage SV1,Streptomyces phage SV1,University of Aberdeen,2595698750,1204525,,,,,,Streptomyces venezuelae,,,37612,55
641509455,Virus,Finished,Phlox Virus B,Phlox Virus B,USDA-ARS,641509455,475777,,,,,,Phlox divaricata cv. White Perfume,,,9058,6
645044615,Virus,Finished,Xanthomonas phage phiL7,Xanthomonas phage phiL7,National Chung Hsing University,645044615,538979,,,,,,Xanthomonas campestris pv. campestris,,,44080,58
2700988886,Virus,Draft,Sclerotinia sclerotiorum endornavirus 2 RefSeq Genome,Sclerotinia sclerotiorum endornavirus 2,"National Center for Biotechnology Information (NCBI), University of Auckland",2700988886,1478132,,,,,,Sclerotinia sclerotiorum,,,10513,1
2706795879,Virus,Draft,Antarctic picorna-like virus 1 RefSeq Genome,Antarctic picorna-like virus 1 APLV1,Autonomous University of Madrid,2706795879,1648481,,,,,,,,,8531,2
638276157,Virus,Finished,Hepatitis delta virus,Hepatitis delta virus,,638276157,12475,,,,,,Homo sapiens,,,1682,2
2700989053,Virus,Draft,Oenococcus phage phiS11,Oenococcus phage phiS11,"National Center for Biotechnology Information (NCBI), University of Bordeaux",2700989053,1432847,,,,,,Oenococcus oeni Sarco S11,,,46243,60
2738542120,Virus,Draft,Redefining the invertebrate RNA virosphere,Shayang ascaridia galli virus 2 SYJFC48550,"BGI Tech Solutions Co., Ltd.",2738542120,1923460,Host-associated,Invertebrates,,Nematoda,,,,China,13283,6
2708742451,Virus,Draft,Single Virus Genomics,Uncultured Surface Seawater Single Virus 41_I18,University of Alicante,2708742451,10239,Environmental,Aquatic,Coastal,Marine,,,Surface seawater,Spain,16749,21
638276964,Virus,Finished,Tobacco necrosis virus A,Tobacco necrosis virus A,Ku Leuven,638276964,12055,,,,,,Nicotiana tabacum,,,3684,5
638275747,Virus,Finished,Carrot mottle mimic virus,Carrot mottle mimic virus,,638275747,47736,,,,,,Daucus carota,,,4201,4
2738542574,Virus,Draft,Redefining the invertebrate RNA virosphere,Hubei leech virus 2 SZmix21584,"BGI Tech Solutions Co., Ltd.",2738542574,1922900,Host-associated,Annelida,,,,Whitmania pigra,,China,9073,2
2706795926,Virus,Draft,Mycobacterium phage Serenity RefSeq Genome,Mycobacterium phage Serenity,Ohio State University,2706795926,1701853,Host-associated,Microbial,,Bacteria,,Mycobacterium,,,52088,99
2738541558,Virus,Draft,Redefining the invertebrate RNA virosphere,Wuhan insect virus 14 WHZM10168,"BGI Tech Solutions Co., Ltd.",2738541558,1923718,Host-associated,Arthropoda,,,,,,China,12473,1
2597490064,Virus,Finished,Synechococcus phage S-CBS4,Synechococcus phage S-CBS4,University of Maryland,2597490064,756275,,,,,,Synechococcus sp. CB0101,,,69420,108
2706795455,Virus,Draft,Heartland virus RefSeq Genome,Heartland virus Patient1,"Centers for Disease Control and Prevention (CDC), USA",2706795455,1216928,Host-associated,Human,,,,Homo sapiens,,,11567,4
2700989085,Virus,Draft,Jatropha mosaic virus RefSeq Genome,Jatropha mosaic virus,"National Center for Biotechnology Information (NCBI), The Biotechnology Centre, The University of the West Indies",2700989085,75574,,,,,,Jatropha,,,5198,7
638276050,Virus,Finished,Euprosterna elaeasa virus,Euprosterna elaeasa virus,Institut Pasteur,638276050,186165,,,,,,Euprosterna elaeasa,,,5698,2
638275910,Virus,Finished,Cryphonectria parasitica mitovirus 1-NB631,Cryphonectria parasitica mitovirus 1-NB631,Rutgers University,638275910,186769,,,,,,Cryphonectria parasitica,,,2728,1
641201017,Virus,Finished,Pipistrellus bat coronavirus HKU5,Pipistrellus bat coronavirus HKU5,"Department of Microbiology, The University of Hong Kong",641201017,694008,,,,,,Chiroptera,,,30482,9
638276906,Virus,Finished,Sugarcane mosaic virus,Sugarcane mosaic virus,Rothamsted Research,638276906,12224,,,,,,Zea mays,,,9596,1
2706795066,Virus,Draft,"Molluscs and insect larvae associated viral genomes from Lake Sarah, New Zealand",Lake Sarah-associated circular virus-3 LSaCV-3-LSWO-2013,University of Canterbury,2706795066,1685757,Host-associated,Invertebrates,,,,,,New Zealand,4441,3
2706796093,Virus,Draft,Propionibacterium phage PFR1 RefSeq Genome,Propionibacterium phage PFR1,La Trobe University,2706796093,1838137,Host-associated,Microbial,,Bacteria,,Propionibacterium,,,38071,56
2595698290,Virus,Finished,Avian avulavirus 4,Avian avulavirus 4,University of Maryland,2595698290,28274,,,,,,Anas rubripes,,,15048,6
2706796428,Virus,Draft,Bee Macula-like virus RefSeq Genome,Bee Macula-like virus France 878V,Swedish University of Agricultural Sciences,2706796428,1682186,Host-associated,Insecta,,,,Bee,,,6258,4
2595698266,Virus,Finished,Astrovirus VA2,Astrovirus VA2,Washington University,2595698266,683173,,,,,,Homo sapiens,,,6531,3
